data_point_ID,Response_Highest_Level,Response_Cat,Response_Sphere,Species_Class,Species_Nativeness,Strata_or_soil_depth,woody_height_class,age_class,Species_Level,Species,Response,Units,Response_Dimension,Response_Living,analysis_group_category,eco_response_coarse,eco_response_fine,eco_response_fine2,eco_response_fine3,eco_response_fine4
Tsuboike et al 2021 Frontiers in Ecology and Evolution 261,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Pterostyrax hispida,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 262,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Pterostyrax hispida,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 263,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Pterostyrax hispida,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 264,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Pterostyrax hispida,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 265,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Pterostyrax hispida,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 266,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Pterostyrax hispida,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 24,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,0 to 30 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 25,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,0 to 30 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 26,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,0 to 30 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 27,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,0 to 30 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 28,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,0 to 30 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 203,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,100 to 150 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 204,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,100 to 150 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 205,ABUNDANCE,Plant_Cover,vegetation,Shrub,Native,100 to 150 cm above ground,,,species,Sambucus sieboldiana var. pinnatisecta,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 136,ABUNDANCE,Plant_Cover,vegetation,Bamboo,Native,0 to 30 cm above ground,,,species,Sasamorpha borealis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Graminoid_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 137,ABUNDANCE,Plant_Cover,vegetation,Bamboo,Native,0 to 30 cm above ground,,,species,Sasamorpha borealis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Graminoid_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 138,ABUNDANCE,Plant_Cover,vegetation,Bamboo,Native,0 to 30 cm above ground,,,species,Sasamorpha borealis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Graminoid_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 139,ABUNDANCE,Plant_Cover,vegetation,Bamboo,Native,0 to 30 cm above ground,,,species,Sasamorpha borealis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Graminoid_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 140,ABUNDANCE,Plant_Cover,vegetation,Bamboo,Native,0 to 30 cm above ground,,,species,Sasamorpha borealis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Graminoid_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 141,ABUNDANCE,Plant_Cover,vegetation,Bamboo,Native,0 to 30 cm above ground,,,species,Sasamorpha borealis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Graminoid_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 97,ABUNDANCE,Plant_Cover,vegetation,Vine,Native,0 to 30 cm above ground,,,species,Schizophragma hydrangeoides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Vine_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 98,ABUNDANCE,Plant_Cover,vegetation,Vine,Native,0 to 30 cm above ground,,,species,Schizophragma hydrangeoides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Vine_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 99,ABUNDANCE,Plant_Cover,vegetation,Vine,Native,0 to 30 cm above ground,,,species,Schizophragma hydrangeoides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Vine_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 172,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 173,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 174,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 175,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 176,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 177,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 255,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 256,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 257,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 258,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 259,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 260,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Staphylea bumalda,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 197,ABUNDANCE,Plant_Cover,vegetation,Forb,Native,0 to 30 cm above ground,,,species,Viola eizanensis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Forb_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 198,ABUNDANCE,Plant_Cover,vegetation,Forb,Native,0 to 30 cm above ground,,,species,Viola eizanensis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Forb_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 199,ABUNDANCE,Plant_Cover,vegetation,Forb,Native,0 to 30 cm above ground,,,species,Viola eizanensis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Forb_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 200,ABUNDANCE,Plant_Cover,vegetation,Forb,Native,0 to 30 cm above ground,,,species,Viola eizanensis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Forb_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 201,ABUNDANCE,Plant_Cover,vegetation,Forb,Native,0 to 30 cm above ground,,,species,Viola eizanensis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Forb_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 202,ABUNDANCE,Plant_Cover,vegetation,Forb,Native,0 to 30 cm above ground,,,species,Viola eizanensis,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Forb_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 167,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 168,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 169,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 170,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 249,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 250,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 251,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 252,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 253,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 254,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,100 to 150 cm above ground,,,species,Zanthoxylum piperitum,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 178,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zelkova serrata,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 179,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zelkova serrata,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 180,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zelkova serrata,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 181,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zelkova serrata,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 182,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zelkova serrata,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Tsuboike et al 2021 Frontiers in Ecology and Evolution 183,ABUNDANCE,Plant_Cover,vegetation,Tree,Native,0 to 30 cm above ground,,,species,Zelkova serrata,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Dornbusch et al 2022 Ecological Applications 2,ABUNDANCE,Plant_Cover,vegetation,shrubs,Native,,,,Species_Level,Artemisia tridentata,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Dornbusch et al 2022 Ecological Applications 3,ABUNDANCE,Plant_Cover,vegetation,shrubs,Native,,,,Species_Level,Artemisia tridentata,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Dornbusch et al 2022 Ecological Applications 4,ABUNDANCE,Plant_Cover,vegetation,shrubs,Native,,,,Species_Level,Artemisia tridentata,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Dornbusch et al 2022 Ecological Applications 5,ABUNDANCE,Plant_Cover,vegetation,shrubs,Native,,,,Species_Level,Artemisia tridentata,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 13,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,genus,Salix spp.,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 14,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,genus,Salix spp.,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 15,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,genus,Salix spp.,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 16,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,genus,Salix spp.,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 7,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,species,Populus tremuloides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 8,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,species,Populus tremuloides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 9,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,species,Populus tremuloides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 10,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,species,Populus tremuloides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 11,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,species,Populus tremuloides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Kauffman et al 2025 Ecosphere 12,ABUNDANCE,Plant_Cover,vegetation,trees,Native,overstorey,,,species,Populus tremuloides,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,Woody_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 4,ABUNDANCE,Plant_Cover,vegetation,all plants,,,,,Higher_Level,all plants,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Takafumi et al 2023 Forest Ecology and Management 5,ABUNDANCE,Plant_Cover,vegetation,all plants,,,,,Higher_Level,all plants,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Takafumi et al 2023 Forest Ecology and Management 6,ABUNDANCE,Plant_Cover,vegetation,all plants,,,,,Higher_Level,all plants,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Orr et al 2022 Journal of Ecology 1,ABUNDANCE,Plant_Cover,vegetation,all plants,,,,,Higher_Level,all plants,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,
Rupprecht et al 2022 Journal of Applied Ecology 6,ABUNDANCE,Plant_Cover,vegetation,all plants,,,,,Higher_Level,all plants,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,
Kauffman et al 2025 Ecosphere 1,ABUNDANCE,Plant_Cover,vegetation,all plants,,understorey + overstorey,,,Higher_Level,,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Kauffman et al 2025 Ecosphere 2,ABUNDANCE,Plant_Cover,vegetation,all plants,,understorey + overstorey,,,Higher_Level,,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Kauffman et al 2025 Ecosphere 3,ABUNDANCE,Plant_Cover,vegetation,all plants,,understorey + overstorey,,,Higher_Level,,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Kauffman et al 2025 Ecosphere 4,ABUNDANCE,Plant_Cover,vegetation,all plants,,understorey + overstorey,,,Higher_Level,,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Kauffman et al 2025 Ecosphere 5,ABUNDANCE,Plant_Cover,vegetation,all plants,,understorey + overstorey,,,Higher_Level,,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Kauffman et al 2025 Ecosphere 6,ABUNDANCE,Plant_Cover,vegetation,all plants,,understorey + overstorey,,,Higher_Level,,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,,,
Donoso et al 2023 Invasive Plant Science and Management 3,ABUNDANCE,Plant_Cover,vegetation,all plants,native,,,,Higher_Level,native plants,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,,,
Donoso et al 2023 Invasive Plant Science and Management 4,ABUNDANCE,Plant_Cover,vegetation,all plants,native,,,,Higher_Level,native plants,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Native_Plant_Abundance,,,
Donoso et al 2023 Invasive Plant Science and Management 8,ABUNDANCE,Plant_Cover,vegetation,annuals,,,,,Higher_Level,annuals,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,
Rupprecht et al 2022 Journal of Applied Ecology 11,ABUNDANCE,Plant_Cover,vegetation,herbs,,,,,Higher_Level,herbs,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,,,,
Takafumi et al 2023 Forest Ecology and Management 7,ABUNDANCE,Plant_Cover,vegetation,ferns,,,,,Higher_Level,ferns,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Fern_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 8,ABUNDANCE,Plant_Cover,vegetation,ferns,,,,,Higher_Level,ferns,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Fern_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 9,ABUNDANCE,Plant_Cover,vegetation,ferns,,,,,Higher_Level,ferns,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Fern_Abundance,,
Maillard et al 2021 Forest Ecology and Management 11,ABUNDANCE,Plant_Cover,vegetation,pteridophyte,,understorey,,,higher_Level,total,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Fern_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 1,ABUNDANCE,Plant_Cover,vegetation,forbs,,,,,Higher_Level,forbs,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Forb_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 2,ABUNDANCE,Plant_Cover,vegetation,forbs,,,,,Higher_Level,forbs,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Forb_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 3,ABUNDANCE,Plant_Cover,vegetation,forbs,,,,,Higher_Level,forbs,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Forb_Abundance,,
Maillard et al 2021 Forest Ecology and Management 4,ABUNDANCE,Plant_Cover,vegetation,forbs,,understorey,,,higher_Level,total,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Forb_Abundance,,
Rupprecht et al 2022 Journal of Applied Ecology 9,ABUNDANCE,Plant_Cover,vegetation,cyperaceae,,,,,Higher_Level,cyperaceae,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,,Graminoid_Abundance,,
Donoso et al 2023 Invasive Plant Science and Management 7,ABUNDANCE,Plant_Cover,vegetation,graminoids,,,,,Higher_Level,graminoids,Cover,%,Aboveground,Living,Plants,Plant_Abundance,,Graminoid_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 10,ABUNDANCE,Plant_Cover,vegetation,graminoids,,,,,Higher_Level,graminoids,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Graminoid_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 11,ABUNDANCE,Plant_Cover,vegetation,graminoids,,,,,Higher_Level,graminoids,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Graminoid_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 12,ABUNDANCE,Plant_Cover,vegetation,graminoids,,,,,Higher_Level,graminoids,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Graminoid_Abundance,,
Maillard et al 2021 Forest Ecology and Management 10,ABUNDANCE,Plant_Cover,vegetation,graminoids,,understorey,,,higher_Level,total,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Graminoid_Abundance,,
Rupprecht et al 2022 Journal of Applied Ecology 8,ABUNDANCE,Plant_Cover,vegetation,poaceae,,,,,Higher_Level,poaceae,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,,Graminoid_Abundance,,
Maillard et al 2021 Forest Ecology and Management 2,ABUNDANCE,Plant_Cover,vegetation,bryophyte,,understorey,,,higher_Level,total,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Non_Vascular_Abundance,,
Maillard et al 2021 Forest Ecology and Management 8,ABUNDANCE,Plant_Cover,vegetation,bryophyte,,understorey,,,higher_Level,total,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Non_Vascular_Abundance,,
Rupprecht et al 2022 Journal of Applied Ecology 12,ABUNDANCE,Plant_Cover,vegetation,bryophytes,,,,,Higher_Level,bryophytes,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,,Non_Vascular_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 19,ABUNDANCE,Plant_Cover,vegetation,vines,,,,,Higher_Level,vines,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Vine_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 20,ABUNDANCE,Plant_Cover,vegetation,vines,,,,,Higher_Level,vines,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Vine_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 21,ABUNDANCE,Plant_Cover,vegetation,vines,,,,,Higher_Level,vines,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Vine_Abundance,,
Rupprecht et al 2022 Journal of Applied Ecology 10,ABUNDANCE,Plant_Cover,vegetation,fabaceae,,,,,Higher_Level,fabaceae,Plant Cover,%,Aboveground,Living,Plants,Plant_Abundance,,Woody_Abundance,,
Takafumi et al 2023 Forest Ecology and Management 16,ABUNDANCE,Plant_Cover,vegetation,trees,,,,,Higher_Level,trees,Cover,Percent,Aboveground,Living,Plants,Plant_Abundance,,Woody_Abundance,,
